id,breed
1,A73EGS-P
2,A73EGS-P
3,A73EGS-P
4,A73EGS-P
5,A73EGS-P
6,A73EGS-P
7,A73EGS-P
8,acanthaluteres_brownii
9,acanthaluteres_brownii
10,acanthaluteres_brownii
11,acanthaluteres_brownii
12,acanthaluteres_spilomelanurus
13,acanthaluteres_spilomelanurus
14,acanthaluteres_spilomelanurus
15,acanthaluteres_vittiger
16,acanthaluteres_vittiger
17,acanthaluteres_vittiger
18,acanthaluteres_vittiger
19,acanthaluteres_vittiger
20,acanthaluteres_vittiger
21,acanthaluteres_vittiger
22,acanthaluteres_vittiger
23,acanthaluteres_vittiger
24,acanthistius_cinctus
25,acanthistius_cinctus
26,acanthistius_cinctus
27,acanthistius_cinctus
28,acanthistius_cinctus
29,acanthistius_cinctus
30,acanthistius_cinctus
31,acanthistius_cinctus
32,acanthistius_cinctus
33,acanthistius_cinctus
34,acanthopagrus_australis
35,acanthopagrus_australis
36,acanthopagrus_australis
37,acanthopagrus_australis
38,acanthopagrus_australis
39,acanthopagrus_australis
40,acanthopagrus_berda
41,acanthopagrus_berda
42,acanthopagrus_berda
43,acanthopagrus_berda
44,acanthopagrus_berda
45,acanthopagrus_berda
46,acanthopagrus_berda
47,acanthopagrus_berda
48,acanthopagrus_berda
49,acanthopagrus_berda
50,acanthopagrus_berda
51,acanthopagrus_latus
52,acanthopagrus_latus
53,acanthopagrus_latus
54,acanthopagrus_latus
55,acanthopagrus_latus
56,achoerodus_gouldii
57,achoerodus_gouldii
58,achoerodus_gouldii
59,achoerodus_gouldii
60,achoerodus_viridis
61,achoerodus_viridis
62,achoerodus_viridis
63,achoerodus_viridis
64,achoerodus_viridis
65,achoerodus_viridis
66,achoerodus_viridis
67,achoerodus_viridis
68,acreichthys_tomentosus
69,acreichthys_tomentosus
70,acreichthys_tomentosus
71,acreichthys_tomentosus
72,acreichthys_tomentosus
73,acreichthys_tomentosus
74,aesopia_cornuta
75,aesopia_cornuta
76,aesopia_cornuta
77,aethaloperca_rogaa
78,aethaloperca_rogaa
79,aethaloperca_rogaa
80,aethaloperca_rogaa
81,aethaloperca_rogaa
82,aethaloperca_rogaa
83,aethaloperca_rogaa
84,aethaloperca_rogaa
